frequency,e',e'',u',u''
9103343750.0000,   4.2783,   0.4901,   1.0093,   0.0138
9105937500.0000,   4.2869,   0.4899,   1.0077,   0.0137
9108531250.0000,   4.2889,   0.4897,   1.0081,   0.0135
9111125000.0000,   4.2911,   0.4858,   1.0068,   0.0123
9113718750.0000,   4.2920,   0.4834,   1.0068,   0.0119
9116312500.0000,   4.2933,   0.4860,   1.0063,   0.0130
9118906250.0000,   4.2956,   0.4858,   1.0055,   0.0133
9121500000.0000,   4.2967,   0.4845,   1.0053,   0.0125
9124093750.0000,   4.2978,   0.4848,   1.0050,   0.0134
9126687500.0000,   4.2978,   0.4816,   1.0040,   0.0127
9129281250.0000,   4.2999,   0.4831,   1.0032,   0.0127
9131875000.0000,   4.2980,   0.4815,   1.0028,   0.0139
9134468750.0000,   4.3011,   0.4787,   1.0016,   0.0130
9137062500.0000,   4.2984,   0.4811,   1.0025,   0.0148
9139656250.0000,   4.2962,   0.4766,   1.0027,   0.0148
9142250000.0000,   4.2943,   0.4726,   1.0019,   0.0141
9144843750.0000,   4.2927,   0.4729,   1.0013,   0.0148
9147437500.0000,   4.2920,   0.4722,   1.0012,   0.0149
9150031250.0000,   4.2923,   0.4687,   1.0006,   0.0158
9152625000.0000,   4.2888,   0.4694,   1.0015,   0.0160
9155218750.0000,   4.2884,   0.4670,   1.0009,   0.0156
9157812500.0000,   4.2858,   0.4642,   1.0010,   0.0163
9160406250.0000,   4.2839,   0.4675,   1.0019,   0.0181
9163000000.0000,   4.2827,   0.4640,   1.0026,   0.0167
9165593750.0000,   4.2772,   0.4637,   1.0032,   0.0173
9168187500.0000,   4.2764,   0.4606,   1.0032,   0.0167
9170781250.0000,   4.2702,   0.4650,   1.0039,   0.0189
9173375000.0000,   4.2737,   0.4617,   1.0044,   0.0181
9175968750.0000,   4.2715,   0.4614,   1.0048,   0.0182
9178562500.0000,   4.2706,   0.4630,   1.0052,   0.0192
9181156250.0000,   4.2725,   0.4684,   1.0055,   0.0196
9183750000.0000,   4.2657,   0.4632,   1.0074,   0.0193
9186343750.0000,   4.2688,   0.4667,   1.0069,   0.0194
9188937500.0000,   4.2684,   0.4664,   1.0079,   0.0189
9191531250.0000,   4.2626,   0.4666,   1.0090,   0.0194
9194125000.0000,   4.2613,   0.4697,   1.0107,   0.0202
9196718750.0000,   4.2594,   0.4689,   1.0106,   0.0188
9199312500.0000,   4.2616,   0.4680,   1.0114,   0.0191
9201906250.0000,   4.2640,   0.4723,   1.0111,   0.0188
9204500000.0000,   4.2641,   0.4725,   1.0130,   0.0174
9207093750.0000,   4.2638,   0.4789,   1.0132,   0.0195
9209687500.0000,   4.2650,   0.4778,   1.0138,   0.0180
9212281250.0000,   4.2655,   0.4800,   1.0143,   0.0183
9214875000.0000,   4.2661,   0.4815,   1.0142,   0.0178
9217468750.0000,   4.2680,   0.4814,   1.0162,   0.0171
9220062500.0000,   4.2654,   0.4850,   1.0164,   0.0176
9222656250.0000,   4.2645,   0.4877,   1.0174,   0.0179
9225250000.0000,   4.2685,   0.4867,   1.0171,   0.0162
9227843750.0000,   4.2734,   0.4894,   1.0165,   0.0158
9230437500.0000,   4.2747,   0.4918,   1.0162,   0.0149
9233031250.0000,   4.2744,   0.4906,   1.0180,   0.0151
9235625000.0000,   4.2749,   0.4909,   1.0177,   0.0160
9238218750.0000,   4.2833,   0.4922,   1.0168,   0.0144
9240812500.0000,   4.2835,   0.4943,   1.0178,   0.0156
9243406250.0000,   4.2830,   0.4979,   1.0169,   0.0155
9246000000.0000,   4.2839,   0.4955,   1.0173,   0.0147
9248593750.0000,   4.2863,   0.4896,   1.0173,   0.0127
9251187500.0000,   4.2883,   0.4972,   1.0174,   0.0149
9253781250.0000,   4.2934,   0.4933,   1.0175,   0.0140
9256375000.0000,   4.2859,   0.4955,   1.0183,   0.0145
9258968750.0000,   4.2957,   0.4941,   1.0168,   0.0138
9261562500.0000,   4.2950,   0.4920,   1.0171,   0.0142
9264156250.0000,   4.2974,   0.4917,   1.0165,   0.0141
9266750000.0000,   4.2965,   0.4895,   1.0170,   0.0140
9269343750.0000,   4.3023,   0.4905,   1.0164,   0.0151
9271937500.0000,   4.2976,   0.4915,   1.0163,   0.0157
9274531250.0000,   4.3002,   0.4906,   1.0161,   0.0150
9277125000.0000,   4.3009,   0.4883,   1.0153,   0.0151
9279718750.0000,   4.3052,   0.4882,   1.0152,   0.0156
9282312500.0000,   4.3051,   0.4878,   1.0144,   0.0163
9284906250.0000,   4.3071,   0.4858,   1.0139,   0.0163
9287500000.0000,   4.3078,   0.4848,   1.0138,   0.0170
9290093750.0000,   4.3051,   0.4845,   1.0136,   0.0174
9292687500.0000,   4.3084,   0.4877,   1.0130,   0.0180
9295281250.0000,   4.3072,   0.4784,   1.0133,   0.0164
9297875000.0000,   4.3134,   0.4807,   1.0119,   0.0171
9300468750.0000,   4.3106,   0.4875,   1.0113,   0.0192
9303062500.0000,   4.3112,   0.4803,   1.0109,   0.0189
9305656250.0000,   4.3102,   0.4834,   1.0122,   0.0196
9308250000.0000,   4.3099,   0.4831,   1.0110,   0.0202
9310843750.0000,   4.3068,   0.4822,   1.0121,   0.0208
9313437500.0000,   4.3105,   0.4832,   1.0100,   0.0210
9316031250.0000,   4.3136,   0.4842,   1.0095,   0.0194
9318625000.0000,   4.3102,   0.4823,   1.0097,   0.0202
9321218750.0000,   4.3118,   0.4856,   1.0097,   0.0213
9323812500.0000,   4.3113,   0.4835,   1.0085,   0.0202
9326406250.0000,   4.3097,   0.4869,   1.0089,   0.0216
9329000000.0000,   4.3127,   0.4831,   1.0092,   0.0195
9331593750.0000,   4.3123,   0.4884,   1.0090,   0.0223
9334187500.0000,   4.3120,   0.4845,   1.0089,   0.0198
9336781250.0000,   4.3096,   0.4863,   1.0090,   0.0209
9339375000.0000,   4.3078,   0.4892,   1.0087,   0.0207
9341968750.0000,   4.3086,   0.4918,   1.0083,   0.0223
9344562500.0000,   4.3094,   0.4860,   1.0086,   0.0204
9347156250.0000,   4.3089,   0.4885,   1.0081,   0.0208
9349750000.0000,   4.3045,   0.4905,   1.0082,   0.0214
9352343750.0000,   4.3073,   0.4884,   1.0084,   0.0209
9354937500.0000,   4.3042,   0.4906,   1.0091,   0.0207
9357531250.0000,   4.3082,   0.4966,   1.0076,   0.0217
9360125000.0000,   4.3054,   0.4892,   1.0085,   0.0201
9362718750.0000,   4.3066,   0.4909,   1.0077,   0.0201
9365312500.0000,   4.3074,   0.4948,   1.0090,   0.0210
9367906250.0000,   4.3013,   0.4902,   1.0089,   0.0211
9370500000.0000,   4.3016,   0.4897,   1.0098,   0.0212
9373093750.0000,   4.3061,   0.4910,   1.0084,   0.0208
9375687500.0000,   4.2973,   0.4926,   1.0092,   0.0217
